10	a	beginning	endless	forms	most	at1	nn1	jj	nn2	rgt
7	Educational	Leadership	and	Policy	Studies	jj	nn1	cc	nn1	nn2
5	educational	placement	of	the	child	jj	nn1	io	at	nn1
5	educational	programs	offered	by	the	jj	nn2	vvn	ii	at
6	effective	and	efficient	use	of	jj	cc	jj	nn1	io
6	effective	and	efficient	use	of	jj	cc	jj	nn1	io
5	effective	date	of	this	agreement	jj	nn1	io	dd1	nn1
5	effective	in	determining	performance	impairment	jj	ii	jj	nn1	nn1
14	effective	in	the	long	run	jj	ii	at	jj	nn1
5	effective	in	the	long	term	jj	ii	at	jj	nn1
5	effective	in	the	short	term	jj	ii	at	jj	nn1
5	Effective	instruction	in	the	expanded	jj	nn1	ii	at	jj
5	Effective	instruction	in	the	expanded	jj	nn1	ii	at	jj
5	effective	measures	relating	to	cessation	jj	nn2	vvg	ii	nn1
5	effective	over	the	long	term	jj	ii	at	jj	nn1
7	effective	solution	to	the	problem	jj	nn1	ii	at	nn1
6	effective	teaching	and	learning	in	jj	nn1	cc	vvg	ii
11	Effective	Treatment	of	Chronic	Fatigue	jj	nn1	io	jj	nn1
5	effective	use	of	the	Internet	jj	nn1	io	at	nn1
13	effective	way	of	dealing	with	jj	nn1	io	vvg	iw
15	effective	way	to	deal	with	jj	nn1	to	vvi	iw
8	effective	way	to	do	it	jj	nn1	to	vdi	pph1
5	effective	way	to	do	this	jj	nn1	to	vdi	dd1
6	effective	way	to	reduce	the	jj	nn1	to	vvi	at
7	effective	ways	of	dealing	with	jj	nn2	io	vvg	iw
8	effective	ways	to	deal	with	jj	nn2	to	vvi	iw
5	effects	of	educational	expectations	and	nn2	io	jj	nn2	cc
6	effeminate	men	and	masculine	women	jj	nn2	cc	jj	nn2
6	efficient	and	effective	use	of	jj	cc	jj	nn1	io
6	efficient	and	effective	use	of	jj	cc	jj	nn1	io
5	efficient	in	the	long	run	jj	ii	at	jj	nn1
5	efficient	way	to	deal	with	jj	nn1	to	vvi	iw
7	efficient	way	to	do	it	jj	nn1	to	vdi	pph1
5	efforts	to	promote	environmental	protection	nn2	to	vvi	jj	nn1
8	Egyptian	Ambassador	to	the	United	jj	nn1	ii	at	np1
10	Egyptian	Book	of	the	Dead	jj	nn1	io	at	jj
7	Egyptian	Organization	for	Human	Rights	jj	nn1	if	jj	nn2
9	Egyptian	president	Gamal	Abdel	Nasser	jj	nn1	np1	np1	np1
5	eight-year	presidency	of	Hashemi	Rafsanjani	jj	nn1	io	np1	np1
5	elderly	and	disabled	legal	immigrants	jj	cc	jj	jj	nn2
5	elderly	men	and	women	who	jj	nn2	cc	nn2	pnqs
5	elderly	persons	with	low	vision	jj	nn2	iw	jj	nn1
6	elected	member	of	parliament	in	jj	nn1	io	nn1	ii
11	elected	president	of	the	United	jj	nn1	io	at	np1
16	elected	representatives	of	the	people	jj	nn2	io	at	nn
11	electoral	votes	needed	to	win	jj	nn2	vvn	to	vvi
10	electric	cars	on	the	road	jj	nn2	ii	at	nn1
9	electric	mixer	at	high	speed	jj	nn1	ii	jj	nn1
5	electric	mixer	at	low	speed	jj	nn1	ii	jj	nn1
10	electric	mixer	at	medium	speed	jj	nn1	ii	jj	nn1
14	electric	mixer	fitted	with	a	jj	nn1	vvn	iw	at1
8	electric	mixer	fitted	with	the	jj	nn1	vvn	iw	at
30	electric	mixer	on	high	speed	jj	nn1	ii	jj	nn1
13	electric	mixer	on	low	speed	jj	nn1	ii	jj	nn1
60	electric	mixer	on	medium	speed	jj	nn1	ii	jj	nn1
8	electric	mixer	on	medium-high	speed	jj	nn1	ii	jj	nn1
5	electric	mixer	set	on	low	jj	nn1	vvn	ii	jj
6	electric	mixer	set	on	medium	jj	nn1	vvn	ii	jj
7	electric	mixer	set	on	medium-high	jj	nn1	vvn	ii	jj
17	electric	mixer	until	light	and	jj	nn1	cs	jj	cc
24	electric	mixer	until	soft	peaks	jj	nn1	cs	jj	nn2
20	electric	mixer	until	stiff	peaks	jj	nn1	cs	jj	nn2
6	electric	mixer	until	well	blended	jj	nn1	cs	rr	vvn
9	electric	oven	door	partially	open	jj	nn1	nn1	rr	jj
11	electric	stand	mixer	until	creamy	jj	nn1	nn1	cs	jj
5	electric	stimulation	of	nasal	muscles	jj	nn1	io	jj	nn2
12	electric	stove	instead	of	gas	jj	nn1	ii21	ii22	nn1
15	electrical	activity	in	the	brain	jj	nn1	ii	at	nn1
7	electrical	activity	of	the	brain	jj	nn1	io	at	nn1
6	electrical	activity	of	the	heart	jj	nn1	io	at	nn1
17	electrical	engineering	and	computer	science	jj	nn1	cc	nn1	nn1
6	Electronic	Implants	in	Otology	and	jj	nn2	ii	np1	cc
6	Electronic	mail	may	be	sent	jj	nn1	vm	vbi	vvn
5	elementary	and	high	school	education	jj	cc	jj	nn1	nn1
7	elementary	and	high	school	levels	jj	cc	jj	nn1	nn2
10	elementary	and	high	school	students	jj	cc	jj	nn1	nn2
13	elementary	and	high	school	teachers	jj	cc	jj	nn1	nn2
19	elementary	and	junior	high	school	jj	cc	jj	jj	nn1
16	elementary	and	junior	high	schools	jj	cc	jj	jj	nn2
9	elementary	and	middle	school	children	jj	cc	jj	nn1	nn2
16	elementary	and	middle	school	levels	jj	cc	jj	nn1	nn2
36	elementary	and	middle	school	students	jj	cc	jj	nn1	nn2
19	elementary	and	middle	school	teachers	jj	cc	jj	nn1	nn2
5	elementary	and	middle	school	years	jj	cc	jj	nn1	nnt2
9	elementary	and	middle	schools	in	jj	cc	jj	nn2	ii
7	Elementary	and	Secondary	Education	Act	jj	cc	jj	nn1	nn1
6	elementary	and	secondary	experienced	teachers	jj	cc	jj	jj	nn2
6	elementary	and	secondary	experienced	teachers	jj	cc	jj	jj	nn2
5	elementary	and	secondary	school	levels	jj	cc	jj	nn1	nn2
5	elementary	and	secondary	school	music	jj	cc	jj	nn1	nn1
11	elementary	and	secondary	school	students	jj	cc	jj	nn1	nn2
13	elementary	and	secondary	school	teachers	jj	cc	jj	nn1	nn2
5	elementary	and	secondary	school	years	jj	cc	jj	nn1	nnt2
14	elementary	and	secondary	schools	in	jj	cc	jj	nn2	ii
11	elementary	school	and	high	school	jj	nn1	cc	jj	nn1
8	elementary	school	and	junior	high	jj	nn1	cc	jj	jj
9	elementary	school	and	middle	school	jj	nn1	cc	jj	nn1
6	Elementary	School	Did	Not	Meet	jj	nn1	vdd	xx	vv0
6	elementary	school	in	a	large	jj	nn1	ii	at1	jj
5	elementary	school	in	New	York	jj	nn1	ii	np1	np1
6	Elementary	School	in	San	Francisco	jj	nn1	ii	np1	np1
5	elementary	school	physical	education	curriculum	jj	nn1	jj	nn1	nn1
9	elementary	school	pupils	based	on	jj	nn1	nn2	vvn	ii
6	elementary	school	students	in	the	jj	nn1	nn2	ii	at
5	elementary	school	to	high	school	jj	nn1	ii	jj	nn1
8	elementary	school	to	middle	school	jj	nn1	ii	jj	nn1
6	elementary	schools	and	high	schools	jj	nn2	cc	jj	nn2
6	elementary	schools	as	well	as	jj	nn2	ii31	ii32	ii33
5	elementary	schools	in	a	rural	jj	nn2	ii	at1	jj
6	Elementary	Schools	in	favor	of	jj	nn2	ii31	ii32	ii33
5	elementary	schools	in	the	area	jj	nn2	ii	at	nn1
6	elementary	schools	in	the	city	jj	nn2	ii	at	nn1
6	elevated	blood	lead	levels	in	jj	nn1	nn1	nn2	ii
7	elevated	levels	of	acculturative	stress	jj	nn2	io	jj	nn1
9	eligible	for	a	charitable	contribution	jj	if	at1	jj	nn1
13	eligible	for	free	agency	after	jj	if	jj	nn1	ii
11	eligible	for	special	education	services	jj	if	jj	nn1	nn2
8	embarrassing	lesson	learned	the	hard	jj	nn1	vvd	at	jj
16	Emblematical	Devices	with	Appropriate	Mottos	jj	nn2	iw	jj	nn2
10	embryonic	stem	cell	research	and	jj	nn1	nn1	nn1	cc
11	embryonic	stem	cell	research	is	jj	nn1	nn1	nn1	vbz
5	embryonic	stem	cells	are	the	jj	nn1	nn2	vbr	at
9	Emergency	and	Environmental	Health	Services	nn1	cc	jj	nn1	nn2
9	EMERGING	SCHOLARSHIP	IN	AFRICAN	ART	jj	nn1	ii	jj	nn1
5	emeritus	of	political	science	at	jj	io	jj	nn1	ii
5	emeritus	of	social	ethics	at	jj	io	jj	nn	ii
6	emeritus	professor	of	history	at	jj	nn1	io	nn1	ii
5	emeritus	professor	of	physics	at	jj	nn1	io	nn1	ii
10	emeritus	professor	of	psychology	at	jj	nn1	io	nn1	ii
6	Emory	University	here	in	Atlanta	jj	nn1	rl	ii	np1
7	Emory	University	School	of	Medicine	jj	nn1	nn1	io	nn1
7	emotional	abuse	and	body	image	jj	nn1	cc	nn1	nn1
5	emotional	abuse	and	sexual	satisfaction	jj	nn1	cc	jj	nn1
5	emotional	adjustment	of	adolescents	and	jj	nn1	io	nn2	cc
9	emotional	and	behavioral	problems	in	jj	cc	jj	nn2	ii
5	emotional	and	instrumental	support	from	jj	cc	jj	nn1	ii
5	emotional	and	social	needs	of	jj	cc	jj	nn2	io
5	emotional	aspects	of	being	a	jj	nn2	io	vbg	at1
5	emotional	disturbance	and	social	maladjustment	jj	nn1	cc	jj	nn1
8	emotional	eating	and	a	memoir	jj	nn1	cc	at1	nn1
6	emotional	experiences	such	as	tension	jj	nn2	ii21	ii22	nn1
5	emotional	high	point	of	the	jj	jj	nn1	io	at
6	emotional	infidelity	with	someone	of	jj	nn1	iw	pn1	io
6	emotional	problems	such	as	depression	jj	nn2	ii21	ii22	nn1
6	emotional	support	and	adolescent	aggression	jj	nn1	cc	jj	nn1
5	emotional	ups	and	downs	of	jj	nn2	cc	nn2	io
5	empirical	data	to	support	this	jj	nn	to	vvi	dd1
5	empirical	evidence	in	support	of	jj	nn1	ii31	ii32	ii33
14	empirical	evidence	to	support	the	jj	nn1	to	vvi	at
6	empirical	evidence	to	support	this	jj	nn1	to	vvi	dd1
11	empirical	research	has	been	conducted	jj	nn1	vhz	vbn	vvn
6	empirical	studies	have	focused	on	jj	nn2	vh0	vvn	ii
5	empty	area	of	the	folder	jj	nn1	io	at	nn1
5	empty	area	of	the	taskbar	jj	nn1	io	at	nn1
5	empty	chair	at	the	table	jj	nn1	ii	at	nn1
5	empty	house	of	the	stare	jj	nn1	io	at	nn1
5	empty	place	at	the	table	jj	nn1	ii	at	nn1
9	encouraging	others	to	do	the	jj	nn2	to	vdi	at
5	end	a	yearlong	economic	recession	vv0	at1	j	jj	nn1
5	end	of	the	East-West	conflict	nn1	io	at	jj	nn1
10	end	of	the	economic	ladder	nn1	io	at	jj	nn1
14	end	of	the	economic	scale	nn1	io	at	jj	nn1
8	end	of	the	economic	spectrum	nn1	io	at	jj	nn1
6	endangered	plant	and	animal	species	jj	nn1	cc	nn1	nn
12	endangered	species	and	threatened	species	jj	nn	cc	vvd	nn
8	endangered	species	in	the	United	jj	nn	ii	at	np1
20	Endangered	Species	of	Wild	Fauna	jj	nn	io	jj	nn
10	endangered	species	such	as	the	jj	nn	ii21	ii22	at
5	endangered	under	the	Endangered	Species	vvn	ii	at	jj	nn
11	endless	forms	most	beautiful	and	jj	nn2	rgt	jj	cc
7	endolymphatic	subarachnoid	shunt	operation	was	jj	jj	nn1	nn1	vbdz
6	endoscopic	sinus	surgery	and	rhinoplasty	jj	nn1	nn1	cc	nn1
6	energetic	arousal	and	tense	arousal	jj	nn1	cc	jj	nn1
5	Energy	and	Environmental	Research	in	nn1	cc	jj	nn1	ii
5	enforcement	of	the	Endangered	Species	nn1	io	at	jj	nn
8	engine	and	an	electric	motor	nn1	cc	at1	jj	nn1
7	English	as	their	primary	language	jj	csa	appge	jj	nn1
5	English	language	learners	immersed	in	jj	nn1	nn2	vvn	ii
5	English	settlement	in	North	America	jj	nn1	ii	nd1	np1
6	Enhanced	Surface	Water	Treatment	Rule	jj	nn1	nn1	nn1	nn1
8	enormous	amount	of	information	about	jj	nn1	io	nn1	ii
5	enormous	amount	of	money	and	jj	nn1	io	nn1	cc
5	enormous	amount	of	money	in	jj	nn1	io	nn1	ii
6	enormous	amount	of	money	on	jj	nn1	io	nn1	ii
8	enormous	amount	of	money	to	jj	nn1	io	nn1	to
8	enormous	amount	of	pressure	on	jj	nn1	io	nn1	ii
9	enormous	amount	of	respect	for	jj	nn1	io	nn1	if
16	enormous	amount	of	time	and	jj	nn1	io	nnt1	cc
6	enormous	amount	of	time	in	jj	nn1	io	nnt1	ii
8	enormous	amount	of	work	to	jj	nn1	io	nn1	to
6	enormous	amounts	of	money	to	jj	nn2	io	nn1	to
5	enormous	amounts	of	time	and	jj	nn2	io	nnt1	cc
5	enormous	progress	has	been	made	jj	nn1	vhz	vbn	vvn
5	enormous	sums	of	money	to	jj	nn2	io	nn1	to
6	enriched	uranium	to	make	a	jj	nn1	to	vvi	at1
5	Enrolled	in	a	Four-Year	Institution	jj	ii	at1	jj	nn1
5	enterprises	have	an	equitable	opportunity	nn2	vh0	at1	jj	nn1
10	Enthusiastic	and	Growing	Career	Stage	jj	cc	jj	nn1	nn1
6	entire	class	at	the	same	jj	nn1	ii	at	da
5	entire	class	of	nuclear	weapons	jj	nn1	io	jj	nn2
5	entire	families	in	the	middle	jj	nn2	ii	at	nn1
6	entire	generation	of	young	people	jj	nn1	io	jj	nn
6	entire	industry	has	grown	up	jj	nn1	vhz	vvn	rp
5	entire	left	side	of	her	jj	jj	nn1	io	appge
5	entire	length	of	the	room	jj	nn1	io	at	nn1
5	entire	population	of	the	city	jj	nn1	io	at	nn1
7	entire	population	of	the	United	jj	nn1	io	at	np1
5	entire	range	of	ships	in	jj	nn1	io	nn2	ii
7	entire	rest	of	the	world	jj	nn1	io	at	nn1
5	entire	right	side	of	the	jj	jj	nn1	io	at
6	entire	structure	of	which	it	jj	nn1	io	ddq	pph1
6	entire	success	in	life	has	jj	nn1	ii	nn1	vhz
5	entire	surface	of	the	planet	jj	nn1	io	at	nn1
5	entire	wall	is	devoted	to	jj	nn1	vbz	jj	ii
5	entrepreneurial	spirit	of	the	American	jj	nn1	io	at	jj
5	enviable	position	of	being	able	jj	nn1	io	vbg	jk
6	environmental	action	locus	of	control	jj	nn1	nn1	io	nn1
5	environmental	and	economic	benefits	of	jj	cc	jj	nn2	io
5	environmental	and	economic	benefits	of	jj	cc	jj	nn2	io
7	environmental	and	economic	impacts	of	jj	cc	jj	nn2	io
7	environmental	and	economic	impacts	of	jj	cc	jj	nn2	io
6	environmental	and	human	rights	groups	jj	cc	jj	nn2	nn2
5	environmental	and	natural	resource	issues	jj	cc	jj	nn1	nn2
10	environmental	and	social	costs	of	jj	cc	jj	nn2	io
5	Environmental	Cooperation	of	North	America	jj	nn1	io	nd1	np1
5	Environmental	Defense	Fund	and	the	jj	nn1	nn1	cc	at
5	Environmental	Defense	Fund	in	Washington	jj	nn1	nn1	ii	np1
6	environmental	degradation	of	the	Argentine	jj	nn1	io	at	jj
5	environmental	education	at	the	early	jj	nn1	ii	at	jj
5	environmental	education	at	the	early	jj	nn1	ii	at	jj
13	environmental	exposures	and	the	consequences	jj	nn2	cc	at	nn2
7	environmental	factors	that	contribute	to	jj	nn2	cst	vv0	ii
6	environmental	group	Friends	of	the	jj	nn1	nn2	io	at
6	environmental	groups	in	the	United	jj	nn2	ii	at	np1
8	environmental	groups	such	as	the	jj	nn2	ii21	ii22	at
7	Environmental	health	and	protection	is	jj	nn1	cc	nn1	vbz
24	environmental	health	and	protection	know	jj	nn1	cc	nn1	vv0
8	environmental	health	and	public	health	jj	nn1	cc	jj	nn1
13	environmental	health	and	to	build	jj	nn1	cc	to	vvi
9	environmental	health	in	disaster	management	jj	nn1	ii	nn1	nn1
13	environmental	health	professionals	and	practitioners	jj	nn1	nn2	cc	nn2
11	environmental	health	professionals	in	the	jj	nn1	nn2	ii	at
13	environmental	health	programs	and	professionals	jj	nn1	nn2	cc	nn2
8	environmental	impact	statement	for	the	jj	nn1	nn1	if	at
5	Environmental	Impact	Statement	for	the	jj	nn1	nn1	if	at
6	environmental	impacts	of	a	product	jj	nn2	io	at1	nn1
5	environmental	impacts	of	the	proposed	jj	nn2	io	at	jj
6	environmental	knowledge	and	attitudes	of	jj	nn1	cc	nn2	io
5	Environmental	Knowledge	and	Environmental	Values	jj	nn1	cc	jj	nn2
5	Environmental	Knowledge	and	Environmental	Values	jj	nn1	cc	jj	nn2
7	Environmental	Paradigm	Growth	and	Technology	jj	nn1	nn1	cc	nn1
7	environmental	problems	associated	with	the	jj	nn2	vvn	iw	at
9	Environmental	Protection	Agency	and	other	jj	nn1	nn1	cc	jj
43	Environmental	Protection	Agency	and	the	jj	nn1	nn1	cc	at
8	Environmental	Protection	Agency	estimates	that	jj	nn1	nn1	vvz	cst
7	Environmental	Protection	Agency	in	the	jj	nn1	nn1	ii	at
19	Environmental	Protection	Agency	U.S.	EPA	jj	nn1	nn1	np1	np1
6	environmental	protection	and	economic	development	jj	nn1	cc	jj	nn1
6	environmental	protection	and	economic	development	jj	nn1	cc	jj	nn1
5	environmental	protection	and	economic	growth	jj	nn1	cc	jj	nn1
5	environmental	protection	and	economic	growth	jj	nn1	cc	jj	nn1
6	environmental	protection	has	become	a	jj	nn1	vhz	vvn	at1
5	Environmental	Studies	Faculty	of	Social	jj	nn2	nn1	io	jj
6	environmental	visibility	of	the	issues	jj	nn1	io	at	nn2
7	Epic	History	of	Art	in	jj	nn1	io	nn1	ii
9	Episcopal	Diocese	of	New	Hampshire	jj	nn1	io	np1	np1
18	episodic	drinking	and	marijuana	use	jj	nn1	cc	nn1	nn1
6	equal	access	to	education	and	jj	nn1	ii	nn1	cc
5	equal	access	to	educational	opportunities	jj	nn1	ii	jj	nn2
5	equal	access	to	educational	opportunities	jj	nn1	ii	jj	nn2
6	equal	access	to	the	civil	jj	nn1	ii	at	jj
5	equal	amounts	of	matter	and	jj	nn2	io	nn1	cc
7	equal	and	inalienable	rights	of	jj	cc	jj	nn2	io
26	equal	justice	under	the	law	jj	nn1	ii	at	nn1
9	equal	number	of	male	and	jj	nn1	io	nn1	cc
13	equal	number	of	males	and	jj	nn1	io	nn2	cc
6	equal	number	of	men	and	jj	nn1	io	nn2	cc
6	equal	numbers	of	boys	and	jj	nn2	io	nn2	cc
5	equal	numbers	of	male	and	jj	nn2	io	nn1	cc
10	equal	numbers	of	males	and	jj	nn2	io	nn2	cc
10	equal	numbers	of	men	and	jj	nn2	io	nn2	cc
6	equal	opportunity	for	all	Americans	jj	nn1	if	db	nn2
7	Equal	Opportunity	in	Higher	Education	jj	nn1	ii	jjr	nn1
5	equal	opportunity	to	participate	in	jj	nn1	to	vvi	ii
51	equal	pay	for	equal	work	jj	nn1	if	jj	nn1
51	equal	pay	for	equal	work	jj	nn1	if	jj	nn1
6	Equal	pay	for	equal	work	jj	nn1	if	jj	nn1
6	Equal	pay	for	equal	work	jj	nn1	if	jj	nn1
14	equal	protection	and	due	process	jj	nn1	cc	jj	nn1
31	equal	protection	clause	of	the	jj	nn1	nn1	io	at
5	equal	protection	clauses	of	the	jj	nn1	nn2	io	at
35	equal	protection	of	the	law	jj	nn1	io	at	nn1
70	equal	protection	of	the	laws	jj	nn1	io	at	nn2
51	equal	protection	under	the	law	jj	nn1	ii	at	nn1
7	equal	rights	and	self-determination	of	jj	nn2	cc	nn1	io
5	equal	rights	for	all	Americans	jj	nn2	if	db	nn2
5	equal	rights	to	the	use	jj	nn2	ii	at	nn1
7	equal	rights	under	the	law	jj	nn2	ii	at	nn1
5	equal	station	to	which	the	jj	nn1	ii	ddq	at
6	equal	to	the	white	man	jj	ii	at	jj	nn1
6	equal	treatment	before	the	law	jj	nn1	ii	at	nn1
18	equal	treatment	under	the	law	jj	nn1	ii	at	nn1
6	Equitable	Life	Assurance	Society	of	jj	nn1	nn1	nn1	io
5	equitable	opportunity	to	participate	in	jj	nn1	to	vvi	ii
5	equitable	sharing	of	the	benefits	jj	nn1	io	at	nn2
7	equivalent	to	a	taxable	yield	jj	ii	at1	jj	nn1
8	equivalent	yards	or	metric	distance	jj	nn2	cc	jj	nn1
6	escalating	costs	of	health	care	jj	nn2	io	nn1	nn1
5	especially	at	the	elementary	level	rr	ii	at	jj	nn1
6	especially	during	the	early	years	rr	ii	at	jj	nnt2
10	especially	in	the	early	days	rr	ii	at	jj	nnt2
8	especially	in	the	early	stages	rr	ii	at	jj	nn2
16	especially	in	the	early	years	rr	ii	at	jj	nnt2
5	essential	difference	between	the	two	jj	nn1	ii	at	mc
5	essential	difference	between	you	and	jj	nn1	ii	ppy	cc
8	essential	functions	of	the	job	jj	nn2	io	at	nn1
6	essential	part	of	any	exposition	jj	nn1	io	dd	nn1
6	essential	part	of	the	curriculum	jj	nn1	io	at	nn1
11	essential	part	of	the	process	jj	nn1	io	at	nn1
5	essential	point	is	that	the	jj	nn1	vbz	cst	at
6	essential	role	to	play	in	jj	nn1	to	vvi	ii
6	established	and	the	emerging	powers	jj	cc	at	jj	nn2
6	established	and	the	emerging	powers	jj	cc	at	jj	nn2
5	established	expressions	of	courtship	disorder	jj	nn2	io	nn1	nn1
9	estimable	Style	Invitational	Loser	Pen	jj	nn1	jj	nn1	nn1
5	Estimated	cost	of	Y2K	remedy	jj	nn1	io	fo	vv0
7	estimated	useful	lives	of	the	jj	jj	nn2	io	at
8	eternal	curse	of	an	actress-to	jj	nn1	io	at1	nn1
6	eternal	generation	of	the	Son	jj	nn1	io	at	nn1
6	Eternal	Sunshine	of	the	Spotless	jj	nn1	io	at	jj
5	Eternal	vigilance	is	the	price	jj	nn1	vbz	at	nn1
5	eternal	vigilance	is	the	price	jj	nn1	vbz	at	nn1
6	ethical	conflicts	in	home	health	jj	nn2	ii	nn1	nn1
8	Ethical	Principles	of	Psychologists	and	jj	nn2	io	nn2	cc
18	Ethical	Standards	for	School	Counselors	jj	nn2	if	nn1	nn2
5	Ethical	Treatment	of	Animals	has	jj	nn1	io	nn2	vhz
5	Ethiopian	capital	of	Addis	Ababa	jj	nn1	io	np1	np1
5	ethnic	Albanian	civilians	during	the	jj	jj	nn2	ii	at
5	ethnic	Albanian	militants	has	emerged	jj	jj	nn2	vhz	vvn
5	ethnic	Albanian	refugees	to	the	jj	jj	nn2	ii	at
5	ethnic	and	racial	composition	of	jj	cc	jj	nn1	io
6	ethnic	and	racial	diversity	of	jj	cc	jj	nn1	io
9	ethnic	and	racial	groups	in	jj	cc	jj	nn2	ii
6	ethnic	differences	in	attention	problems	jj	nn2	ii	nn1	nn2
6	ethnic	differences	in	eating	attitudes	jj	nn2	ii	vvg	nn2
5	ethnic	disparities	in	health	care	jj	nn2	ii	nn1	nn1
6	ethnic	group	in	the	country	jj	nn1	ii	at	nn1
6	ethnic	group	in	the	United	jj	nn1	ii	at	np1
5	ethnic	group	in	this	country	jj	nn1	ii	dd1	nn1
5	ethnic	group	that	makes	up	jj	nn1	cst	vvz	rp
5	ethnic	groups	in	order	to	jj	nn2	bcl21	bcl22	to
13	ethnic	groups	in	the	country	jj	nn2	ii	at	nn1
7	ethnic	groups	in	the	U.S.	jj	nn2	ii	at	np1
24	ethnic	groups	in	the	United	jj	nn2	ii	at	np1
6	ethnic	groups	in	this	country	jj	nn2	ii	dd1	nn1
5	ethnic	identity	and	attitudes	toward	jj	nn1	cc	nn2	ii
9	ethnic	identity	and	ethnic	attitudes	jj	nn1	cc	jj	nn2
9	ethnic	identity	and	ethnic	attitudes	jj	nn1	cc	jj	nn2
5	ethnic	kin	just	over	the	jj	nn	rr	ii	at
6	ethnic	studies	and	immigration	history	jj	nn2	cc	nn1	nn1
5	European	and	Eurasian	Law	Initiative	jj	cc	jj	nn1	nn1
5	European	and	Eurasian	Law	Initiative	jj	cc	jj	nn1	nn1
47	European	Bank	for	Reconstruction	and	jj	nn1	if	nn1	cc
6	European	Central	Bank	and	the	jj	jj	nn1	cc	at
10	European	Coal	and	Steel	Community	jj	nn1	cc	np1	nn1
8	European	Community	and	the	United	jj	nn1	cc	at	np1
5	European	countries	and	the	Soviet	jj	nn2	cc	at	jj
6	European	countries	and	the	United	jj	nn2	cc	at	np1
15	European	Court	of	Human	Rights	jj	nn1	io	jj	nn2
5	European	Journal	of	Psychology	of	jj	nn1	io	nn1	io
8	European	Journal	of	Social	Psychology	jj	nn1	io	jj	nn1
6	European	nations	and	the	United	jj	nn2	cc	at	np1
12	European	Organization	for	Nuclear	Research	jj	nn1	if	jj	nn1
6	European	Policy	Studies	in	Brussels	jj	nn1	nn2	ii	np1
8	European	security	and	defense	policy	jj	nn1	cc	nn1	nn1
5	European	security	policy	and	architecture	jj	nn1	nn1	cc	nn1
5	European	Union	and	the	United	jj	nn1	cc	at	np1
6	Evangelical	Council	for	Financial	Accountability	jj	nn1	if	jj	nn1
9	Evangelical	Lutheran	Church	in	America	jj	jj	nn1	ii	np1
5	even	at	this	early	hour	rr	ii	dd1	jj	nnt1
15	even	at	this	early	stage	rr	ii	dd1	jj	nn1
7	Even	at	this	early	stage	rr	ii	dd1	jj	nn1
5	even	in	the	early	years	rr	ii	at	jj	nnt2
11	Evergreen	State	College	in	Olympia	jj	nn1	nn1	ii	np1
5	every	racial	and	ethnic	group	at1	jj	cc	jj	nn1
5	everyday	life	of	the	city	jj	nn1	io	at	nn1
5	everyday	working	men	and	women	jj	jj	nn2	cc	nn2
6	evidence-based	assessment	of	the	scientific	jj	nn1	io	at	jj
8	Evolutionary	Biology	and	Human	Health	jj	nn1	cc	jj	nn1
8	Evolutionary	Biology	at	the	University	jj	nn1	ii	at	nn1
5	evolved	sex	specific	mate	retention	jj	nn1	jj	nn1	nn1
8	exact	amount	of	contribution	will	jj	nn1	io	nn1	vm
5	exact	nature	of	the	relationship	jj	nn1	io	at	nn1
5	exact	opposite	of	what	he	jj	nn1	io	ddq	pphs1
7	exact	opposite	of	what	I	jj	nn1	io	ddq	ppis1
6	exact	opposite	of	what	the	jj	nn1	io	ddq	at
6	exact	opposite	of	what	you	jj	nn1	io	ddq	ppy
6	excellent	example	of	this	is	jj	nn1	io	dd1	vbz
5	excellent	high	school	should	have	jj	jj	nn1	vm	vhi
9	exception	to	the	exclusionary	rule	nn1	ii	at	jj	nn1
5	exceptional	ability	in	the	sciences	jj	nn1	ii	at	nn2
6	excess	flour	with	a	knife	jj	nn1	iw	at1	nn1
7	excess	pastry	inside	so	that	jj	nn1	rl	cs21	cs22
5	excess	power	back	to	the	jj	nn1	rp	ii	at
7	excessive	entanglement	between	government	and	jj	nn1	ii	nn1	cc
5	excessive	expense	on	the	family	jj	nn1	ii	at	nn1
7	excessive	government	entanglement	with	religion	jj	nn1	nn1	iw	nn1
7	excessive	upward	spread	of	masking	jj	jj	nn1	io	nn1
6	excessive	use	of	force	by	jj	nn1	io	nn1	ii
7	exciting	excursion	into	televised	broadcast	jj	nn1	ii	jj	nn1
5	exciting	time	to	be	alive	jj	nnt1	to	vbi	jj
12	exciting	time	to	be	in	jj	nnt1	to	vbi	ii
8	Exclusive	gallery	of	work	from	jj	nn1	io	nn1	ii
6	exclusive	interview	with	President	Bush	jj	nn1	iw	nnb	np1
5	exclusive	interview	with	Senator	Barack	jj	nn1	iw	nnb	np1
5	exclusive	interview	with	the	former	jj	nn1	iw	at	da
8	exclusive	interview	with	the	man	jj	nn1	iw	at	nn1
6	exclusive	interview	with	USA	TODAY	jj	nn1	iw	np1	rt
5	excruciating	pain	that	I	was	jj	nn1	cst	ppis1	vbdz
5	executed	in	the	electric	chair	vvn	ii	at	jj	nn1
12	executive	director	of	the	American	jj	nn1	io	at	jj
8	executive	director	of	the	Center	jj	nn1	io	at	nn1
10	executive	director	of	the	Colorado	jj	nn1	io	at	np1
9	executive	director	of	the	International	jj	nn1	io	at	jj
36	executive	director	of	the	National	jj	nn1	io	at	jj
5	executive	editor	of	The	Weekly	jj	nn1	io	at	jj
