5	a	balanced	budget	with	drastic	at1	jj	nn1	iw	jj
6	Democratic	chairman	of	the	House	jj	nn1	io	at	nn1
6	Democratic	chairman	of	the	Senate	jj	nn1	io	at	nn1
6	democratic	citizenship	education	in	Albania	jj	nn1	nn1	ii	np1
7	Democratic	colleagues	in	the	Senate	jj	nn2	ii	at	nn1
6	Democratic	Congress	and	a	Democratic	jj	nn1	cc	at1	jj
6	Democratic	Congress	and	a	Democratic	jj	nn1	cc	at1	jj
5	democratic	consolidation	in	Hong	Kong	jj	nn1	ii	np1	np1
11	democratic	control	of	armed	forces	jj	nn1	io	jj	nn2
5	democratic	control	of	the	armed	jj	nn1	io	at	jj
7	democratic	control	of	the	military	jj	nn1	io	at	jj
5	democratic	control	over	the	military	jj	nn1	ii	at	jj
11	Democratic	convention	in	Los	Angeles	jj	nn1	ii	np1	np1
8	Democratic	Convention	in	Los	Angeles	jj	nn1	ii	np1	np1
6	Democratic	convention	in	New	York	jj	nn1	ii	np1	np1
5	democratic	forces	in	the	Soviet	jj	nn2	ii	at	jj
12	democratic	governance	of	the	defense	jj	nn1	io	at	nn1
5	Democratic	headquarters	in	the	Watergate	jj	nn	ii	at	np1
5	Democratic	House	and	a	Democratic	jj	nn1	cc	at1	jj
5	Democratic	House	and	a	Democratic	jj	nn1	cc	at1	jj
18	Democratic	leader	in	the	House	jj	nn1	ii	at	nn1
32	Democratic	leader	in	the	Senate	jj	nn1	ii	at	nn1
13	Democratic	leader	of	the	Senate	jj	nn1	io	at	nn1
6	Democratic	leaders	in	Congress	and	jj	nn2	ii	nn1	cc
5	Democratic	leaders	in	the	House	jj	nn2	ii	at	nn1
6	Democratic	leaders	in	the	Senate	jj	nn2	ii	at	nn1
11	Democratic	leadership	in	the	House	jj	nn1	ii	at	nn1
6	Democratic	leadership	in	the	Senate	jj	nn1	ii	at	nn1
8	Democratic	majority	in	the	House	jj	nn1	ii	at	nn1
14	Democratic	majority	in	the	Senate	jj	nn1	ii	at	nn1
7	Democratic	member	of	the	House	jj	nn1	io	at	nn1
8	Democratic	members	of	Congress	who	jj	nn2	io	nn1	pnqs
5	Democratic	members	of	the	committee	jj	nn2	io	at	nn1
12	Democratic	members	of	the	House	jj	nn2	io	at	nn1
5	democratic	model	of	civil-military	relations	jj	nn1	io	jj	nn2
6	Democratic	National	Committee	and	a	jj	jj	nn1	cc	at1
5	Democratic	National	Committee	and	the	jj	jj	nn1	cc	at
6	Democratic	National	Committee	Chairman	Howard	jj	jj	nn1	nn1	np1
5	Democratic	National	Convention	in	Boston	jj	jj	nn1	ii	np1
5	Democratic	National	Convention	in	Denver	jj	jj	nn1	ii	np1
7	Democratic	nomination	for	governor	of	jj	nn1	if	nn1	io
6	Democratic	nomination	for	president	in	jj	nn1	if	nn1	ii
5	Democratic	nomination	for	the	Senate	jj	nn1	if	at	nn1
10	Democratic	Party	and	the	Republican	jj	nn1	cc	at	nn1
5	Democratic	Party	as	a	whole	jj	nn1	ii	at1	nn1
5	Democratic	Party	as	well	as	jj	nn1	ii31	ii32	ii33
5	Democratic	Party	Chairman	Ron	Brown	jj	nn1	nn1	np1	np1
9	Democratic	Party	has	revitalized	itself	jj	nn1	vhz	vvn	ppx1
6	Democratic	Party	in	the	House	jj	nn1	ii	at	nn1
6	Democratic	Party	in	the	Senate	jj	nn1	ii	at	nn1
24	Democratic	Party	is	going	to	jj	nn1	vbz	vvgk	to
9	Democratic	president	and	a	Democratic	jj	nn1	cc	at1	jj
9	Democratic	president	and	a	Democratic	jj	nn1	cc	at1	jj
7	Democratic	President	and	a	Democratic	jj	nn1	cc	at1	jj
7	Democratic	President	and	a	Democratic	jj	nn1	cc	at1	jj
5	Democratic	president	and	a	Republican	jj	nn1	cc	at1	nn1
11	Democratic	presidential	candidate	Al	Gore	jj	jj	nn1	np1	np1
11	Democratic	presidential	candidate	Barack	Obama	jj	jj	nn1	np1	np1
10	Democratic	presidential	candidate	Bill	Clinton	jj	jj	nn1	np1	np1
9	Democratic	presidential	candidate	Howard	Dean	jj	jj	nn1	np1	np1
6	Democratic	presidential	candidate	Jerry	Brown	jj	jj	nn1	np1	np1
16	Democratic	presidential	candidate	John	Edwards	jj	jj	nn1	np1	np1
27	Democratic	presidential	candidate	John	Kerry	jj	jj	nn1	np1	np1
8	Democratic	presidential	candidate	Paul	Tsongas	jj	jj	nn1	np1	np2
10	Democratic	presidential	nominee	John	Kerry	jj	jj	nn1	np1	np1
29	Democratic	Republic	of	the	Congo	jj	nn1	io	at	np1
5	Democratic	Senate	Majority	Leader	Harry	jj	nn1	nn1	nn1	np1
6	Democratic	Senator	Daniel	Patrick	Moynihan	jj	nnb	np1	np1	np1
6	Democratic	Senator	Evan	Bayh	of	jj	nnb	np1	nn1	io
5	Democratic	senator	from	New	Jersey	jj	nn1	ii	np1	np1
8	Democratic	senator	from	New	York	jj	nn1	ii	np1	np1
8	Democratic	Senator	John	Breaux	of	jj	nnb	np1	nn2	io
22	Democratic	side	of	the	aisle	jj	nn1	io	at	nn1
6	Democratic	Speaker	of	the	House	jj	nn1	io	at	nn1
5	democratic	transfer	of	power	in	jj	nn1	io	nn1	ii
8	Democratic	votes	in	the	House	jj	nn2	ii	at	nn1
13	Democratic	wing	of	the	Democratic	jj	nn1	io	at	jj
13	Democratic	wing	of	the	Democratic	jj	nn1	io	at	jj
7	Demographic	characteristics	of	the	participants	jj	nn2	io	at	nn2
6	demographic	characteristics	of	the	participants	jj	nn2	io	at	nn2
5	demographic	characteristics	of	the	respondents	jj	nn2	io	at	nn2
15	demographic	characteristics	of	the	sample	jj	nn2	io	at	nn1
6	Demographic	Characteristics	of	the	Sample	jj	nn2	io	at	nn1
5	demographic	characteristics	of	the	students	jj	nn2	io	at	nn2
7	demographic	information	such	as	age	jj	nn1	ii21	ii22	nn1
6	demographic	variables	such	as	age	jj	nn2	ii21	ii22	nn1
11	dependent	on	foreign	sources	of	jj	ii	jj	nn2	io
9	dependent	on	the	federal	government	jj	ii	at	jj	nn1
8	dependent	variable	in	this	study	jj	nn1	ii	dd1	nn1
9	dependent	variable	is	explained	by	jj	nn1	vbz	vvn	ii
5	dependent	variable	was	the	number	jj	nn1	vbdz	at	nn1
6	dependent	variables	showed	a	significant	jj	nn2	vvd	at1	jj
5	Dependent	variables	significantly	related	to	jj	nn2	rr	vvn	ii
9	depraved	indifference	to	human	life	jj	nn1	ii	jj	nn1
11	Descriptive	statistics	were	calculated	for	jj	nn	vbdr	vvn	if
22	Descriptive	statistics	were	used	to	jj	nn	vbdr	vvn	to
5	descriptive	statistics	were	used	to	jj	nn	vbdr	vvn	to
5	descriptive	text	appears	within	a	jj	nn1	vvz	ii	at1
5	desirable	characteristics	of	a	department	jj	nn2	io	at1	nn1
8	desired	amount	of	salt	and	jj	nn1	io	nn1	cc
5	desired	learning	outcomes	on	the	jj	nn1	nn2	ii41	ii42
9	Desperate	times	call	for	desperate	jj	nnt2	vv0	if	jj
9	Desperate	times	call	for	desperate	jj	nnt2	vv0	if	jj
8	desperate	times	call	for	desperate	jj	nnt2	vv0	if	jj
8	desperate	times	call	for	desperate	jj	nnt2	vv0	if	jj
5	destabilizing	force	in	the	Middle	jj	nn1	ii	at	jj
5	detailed	information	on	how	to	jj	nn1	ii	rrq	to
18	detailed	instructions	on	how	to	jj	nn2	ii	rrq	to
5	Detailed	plans	and	step-by-step	instructions	jj	nn2	cc	jj	nn2
8	determined	look	on	his	face	jj	nn1	ii	appge	nn1
5	devastating	proof	of	his	guilt	jj	nn1	io	appge	nn1
7	developed	and	developing	countries	alike	jj	cc	jj	nn2	rr
7	developed	and	developing	countries	alike	jj	cc	jj	nn2	rr
6	developed	countries	in	the	world	jj	nn2	ii	at	nn1
6	developed	countries	of	the	world	jj	nn2	io	at	nn1
8	developed	country	in	the	world	jj	nn1	ii	at	nn1
5	developed	nation	in	the	world	jj	nn1	ii	at	nn1
5	developed	parts	of	the	world	jj	nn2	io	at	nn1
6	developing	countries	around	the	world	jj	nn2	ii	at	nn1
5	developing	countries	over	the	next	jj	nn2	ii	at	md
9	developing	countries	such	as	India	jj	nn2	ii21	ii22	np1
40	developing	weapons	of	mass	destruction	jj	nn2	io	jj	nn1
7	developmental	classroom	lessons	by	oneself	jj	nn1	nn2	ii	pnx1
6	developmental	classroom	lessons	in	collaboration	jj	nn1	nn2	ii	nn1
8	developmental	disabilities	and	their	families	jj	nn2	cc	appge	nn2
5	developmental	model	of	doctrinal	change	jj	nn1	io	jj	nn1
5	developmental	model	of	doctrinal	change	jj	nn1	io	jj	nn1
7	deviant	than	nondeviant	participants	reported	jj	csn	jj	nn2	vvd
5	devilish	grin	on	his	face	jj	nn1	ii	appge	nn1
5	Diagnostic	Analysis	of	Nonverbal	Accuracy	jj	nn1	io	jj	nn1
117	Diagnostic	and	Statistical	Manual	of	jj	cc	jj	nn1	io
13	Diagnostic	and	statistical	manual	of	jj	cc	jj	nn1	io
5	diagnostic	criteria	for	alcohol	dependence	jj	nn2	if	nn1	nn1
6	Diagnostic	Interview	Schedule	for	Children	jj	nn1	nn1	if	nn2
8	Diagnostic	Inventory	of	Early	Development	jj	nn1	io	jj	nn1
5	diagnostic	procedures	and	treatments	for	jj	nn2	cc	nn2	if
5	diced	tomatoes	and	green	chiles	jj	nn2	cc	jj	nn2
5	died	as	a	direct	result	vvd	ii	at1	jj	nn1
8	Dietary	Approaches	to	Stop	Hypertension	jj	nn2	ii	nn1	nn1
26	Dietary	Supplement	Health	and	Education	jj	nn1	nn1	cc	nn1
5	different	accounts	of	what	happened	jj	nn2	io	ddq	vvd
5	different	approach	to	the	problem	jj	nn1	ii	at	nn1
14	different	areas	of	the	brain	jj	nn2	io	at	nn1
7	different	areas	of	the	city	jj	nn2	io	at	nn1
13	different	areas	of	the	country	jj	nn2	io	at	nn1
6	different	areas	of	the	state	jj	nn2	io	at	nn1
6	different	areas	of	the	world	jj	nn2	io	at	nn1
9	different	aspects	of	the	same	jj	nn2	io	at	da
6	different	bodies	of	prevention	information	jj	nn2	io	nn1	nn1
7	different	common	names	in	different	jj	jj	nn2	ii	jj
7	different	common	names	in	different	jj	jj	nn2	ii	jj
12	different	countries	around	the	world	jj	nn2	ii	at	nn1
5	different	countries	of	the	world	jj	nn2	io	at	nn1
9	different	days	of	the	week	jj	nnt2	io	at	nnt1
5	different	definitions	of	the	word	jj	nn2	io	at	nn1
6	different	directions	at	the	same	jj	nn2	ii	at	da
5	different	ethnic	and	racial	groups	jj	jj	cc	jj	nn2
5	different	ethnic	groups	in	the	jj	jj	nn2	ii	at
10	different	from	all	other	nights	jj	ii	db	jj	nnt2
8	different	from	other	forms	of	jj	ii	jj	nn2	io
8	different	from	other	kinds	of	jj	ii	jj	nn2	io
10	different	from	other	types	of	jj	ii	jj	nn2	io
5	different	from	the	dominant	culture	jj	ii	at	jj	nn1
5	different	from	the	dominant	culture	jj	ii	at	jj	nn1
5	different	from	the	general	population	jj	ii	at	jj	nn1
8	different	from	the	other	kids	jj	ii	at	jj	nn2
8	different	groups	of	people	in	jj	nn2	io	nn	ii
9	different	ideas	about	how	to	jj	nn2	ii	rrq	to
10	different	interpretations	of	the	same	jj	nn2	io	at	da
10	different	kind	of	Middle	East	jj	nn1	io	jj	nd1
7	different	kind	of	relationship	with	jj	nn1	io	nn1	iw
5	different	kinds	of	breast	cancer	jj	nn2	io	nn1	nn1
5	different	kinds	of	people	and	jj	nn2	io	nn	cc
5	different	kinds	of	people	in	jj	nn2	io	nn	ii
5	different	man	from	the	one	jj	nn1	ii	at	pn1
5	different	members	of	the	family	jj	nn2	io	at	nn1
5	different	methods	of	instructional	delivery	jj	nn2	io	jj	nn1
11	different	part	of	the	brain	jj	nn1	io	at	nn1
5	different	part	of	the	building	jj	nn1	io	at	nn1
19	different	part	of	the	country	jj	nn1	io	at	nn1
14	different	part	of	the	world	jj	nn1	io	at	nn1
25	different	parts	of	the	body	jj	nn2	io	at	nn1
31	different	parts	of	the	brain	jj	nn2	io	at	nn1
16	different	parts	of	the	city	jj	nn2	io	at	nn1
150	different	parts	of	the	country	jj	nn2	io	at	nn1
5	Different	parts	of	the	country	jj	nn2	io	at	nn1
10	different	parts	of	the	house	jj	nn2	io	at	nn1
5	different	parts	of	the	room	jj	nn2	io	at	nn1
9	different	parts	of	the	same	jj	nn2	io	at	da
6	different	parts	of	the	sky	jj	nn2	io	at	nn1
21	different	parts	of	the	state	jj	nn2	io	at	nn1
9	different	parts	of	the	United	jj	nn2	io	at	np1
7	different	parts	of	the	universe	jj	nn2	io	at	nn1
123	different	parts	of	the	world	jj	nn2	io	at	nn1
8	different	parts	of	your	body	jj	nn2	io	appge	nn1
6	different	people	at	different	times	jj	nn	ii	jj	nnt2
6	different	people	at	different	times	jj	nn	ii	jj	nnt2
6	different	person	from	the	one	jj	nn1	ii	at	pn1
5	different	person	than	I	was	jj	nn1	csn	ppis1	vbdz
5	different	place	from	what	it	jj	nn1	ii	ddq	pph1
9	different	place	than	it	was	jj	nn1	csn	pph1	vbdz
5	different	places	and	at	different	jj	nn2	cc	ii	jj
5	different	places	and	at	different	jj	nn2	cc	ii	jj
5	different	places	around	the	world	jj	nn2	ii	at	nn1
11	different	places	at	different	times	jj	nn2	ii	jj	nnt2
11	different	places	at	different	times	jj	nn2	ii	jj	nnt2
7	different	places	in	the	country	jj	nn2	ii	at	nn1
5	different	places	in	the	world	jj	nn2	ii	at	nn1
8	different	point	of	view	on	jj	nn1	io	nn1	ii
6	different	point	of	view	than	jj	nn1	io	nn1	csn
6	different	points	of	view	about	jj	nn2	io	nn1	ii
14	different	points	of	view	and	jj	nn2	io	nn1	cc
5	different	points	of	view	in	jj	nn2	io	nn1	ii
5	different	points	of	view	that	jj	nn2	io	nn1	cst
7	different	racial	and	ethnic	backgrounds	jj	jj	cc	jj	nn2
18	different	racial	and	ethnic	groups	jj	jj	cc	jj	nn2
5	different	racial	or	ethnic	groups	jj	jj	cc	jj	nn2
5	different	regions	around	the	world	jj	nn2	ii	at	nn1
5	different	regions	of	the	brain	jj	nn2	io	at	nn1
24	different	regions	of	the	country	jj	nn2	io	at	nn1
8	different	regions	of	the	United	jj	nn2	io	at	np1
19	different	regions	of	the	world	jj	nn2	io	at	nn1
5	different	sectors	of	the	community	jj	nn2	io	at	nn1
7	different	sectors	of	the	economy	jj	nn2	io	at	nn1
9	different	segments	of	the	population	jj	nn2	io	at	nn1
6	different	set	of	rules	for	jj	nn1	io	nn2	if
5	different	set	of	rules	that	jj	nn1	io	nn2	cst
7	different	settings	of	the	same	jj	nn2	io	at	da
5	different	sides	of	the	issue	jj	nn2	io	at	nn1
5	different	sides	of	the	same	jj	nn2	io	at	da
5	different	sources	of	acute	stress	jj	nn2	io	jj	nn1
8	different	spatial	and	temporal	scales	jj	jj	cc	jj	nn2
5	different	stages	of	their	careers	jj	nn2	io	appge	nn2
5	different	story	from	the	one	jj	nn1	ii	at	pn1
10	different	strokes	for	different	folks	jj	nn2	if	jj	nn2
10	different	strokes	for	different	folks	jj	nn2	if	jj	nn2
10	Different	strokes	for	different	folks	jj	nn2	if	jj	nn2
10	Different	strokes	for	different	folks	jj	nn2	if	jj	nn2
6	different	than	any	other	day	jj	csn	dd	jj	nnt1
13	different	things	at	different	times	jj	nn2	ii	jj	nnt2
13	different	things	at	different	times	jj	nn2	ii	jj	nnt2
6	different	things	at	the	same	jj	nn2	ii	at	da
5	different	things	for	different	people	jj	nn2	if	jj	nn
5	different	things	for	different	people	jj	nn2	if	jj	nn
7	different	things	might	have	been	jj	nn2	vm	vhi	vbn
76	different	things	to	different	people	jj	nn2	ii	jj	nn
76	different	things	to	different	people	jj	nn2	ii	jj	nn
7	different	things	you	can	do	jj	nn2	ppy	vm	vdi
8	different	time	and	a	different	jj	nnt1	cc	at1	jj
8	different	time	and	a	different	jj	nnt1	cc	at1	jj
14	different	times	and	in	different	jj	nnt2	cc	ii	jj
14	different	times	and	in	different	jj	nnt2	cc	ii	jj
5	different	times	in	different	places	jj	nnt2	ii	jj	nn2
5	different	times	in	different	places	jj	nnt2	ii	jj	nn2
6	different	times	in	my	life	jj	nnt2	ii	appge	nn1
42	different	times	of	the	day	jj	nnt2	io	at	nnt1
37	different	times	of	the	year	jj	nnt2	io	at	nnt1
5	different	types	of	coping	strategies	jj	nn2	io	vvg	nn2
6	different	types	of	daily	demands	jj	nn2	io	jj	nn2
6	different	types	of	daily	demands	jj	nn2	io	jj	nn2
6	different	types	of	depositional	basins	jj	nn2	io	jj	nn2
6	different	types	of	depositional	basins	jj	nn2	io	jj	nn2
5	different	types	of	music	and	jj	nn2	io	nn1	cc
7	different	types	of	social	support	jj	nn2	io	jj	nn1
5	different	version	of	the	story	jj	nn1	io	at	nn1
9	different	versions	of	the	bill	jj	nn2	io	at	nn1
22	different	versions	of	the	same	jj	nn2	io	at	da
7	different	versions	of	the	story	jj	nn2	io	at	nn1
5	different	versions	of	the	truth	jj	nn2	io	at	nn1
7	different	versions	of	what	happened	jj	nn2	io	ddq	vvd
14	different	view	of	the	world	jj	nn1	io	at	nn1
6	different	view	of	what	the	jj	nn1	io	ddq	at
5	different	views	of	the	same	jj	nn2	io	at	da
6	different	views	of	the	world	jj	nn2	io	at	nn1
7	different	views	of	what	the	jj	nn2	io	ddq	at
5	different	walks	of	life	and	jj	nn2	io	nn1	cc
9	different	way	of	dealing	with	jj	nn1	io	vvg	iw
5	different	way	of	doing	it	jj	nn1	io	vdg	pph1
14	different	way	of	doing	things	jj	nn1	io	vdg	nn2
26	different	way	of	looking	at	jj	nn1	io	vvg	ii
16	different	way	of	thinking	about	jj	nn1	io	vvg	ii
5	different	way	to	look	at	jj	nn1	to	vvi	ii
5	different	ways	and	at	different	jj	nn2	cc	ii	jj
5	different	ways	and	at	different	jj	nn2	cc	ii	jj
5	different	ways	and	to	different	jj	nn2	cc	ii	jj
5	different	ways	and	to	different	jj	nn2	cc	ii	jj
6	different	ways	in	which	a	jj	nn2	ii	ddq	at1
7	different	ways	in	which	people	jj	nn2	ii	ddq	nn
11	different	ways	in	which	the	jj	nn2	ii	ddq	at
9	different	ways	of	dealing	with	jj	nn2	io	vvg	iw
5	different	ways	of	doing	it	jj	nn2	io	vdg	pph1
5	different	ways	of	doing	things	jj	nn2	io	vdg	nn2
37	different	ways	of	looking	at	jj	nn2	io	vvg	ii
6	different	ways	of	measuring	the	jj	nn2	io	vvg	at
5	different	ways	of	thinking	about	jj	nn2	io	vvg	ii
6	different	ways	that	you	can	jj	nn2	cst	ppy	vm
5	different	ways	to	deal	with	jj	nn2	to	vvi	iw
6	different	ways	to	do	it	jj	nn2	to	vdi	pph1
5	different	ways	to	do	that	jj	nn2	to	vdi	dd1
9	different	ways	to	look	at	jj	nn2	to	vvi	ii
5	different	world	from	the	one	jj	nn1	ii	at	pn1
5	differential	reinforcement	of	lower	rates	jj	nn1	io	jjr	nn2
5	difficult	for	other	people	to	jj	if	jj	nn	to
5	difficult	for	the	average	person	jj	if	at	jj	nn1
5	difficult	for	young	people	to	jj	if	jj	nn	to
5	difficult	job	in	the	world	jj	nn1	ii	at	nn1
5	difficult	position	to	be	in	jj	nn1	to	vbi	rp
7	difficult	task	of	trying	to	jj	nn1	io	vvg	to
5	difficult	temperament	of	the	child	jj	nn1	io	at	nn1
9	difficult	thing	for	me	to	jj	nn1	if	ppio1	to
7	difficult	thing	for	you	to	jj	nn1	if	ppy	to
7	difficult	thing	in	the	world	jj	nn1	ii	at	nn1
7	difficult	thing	to	do	in	jj	nn1	to	vdi	ii
5	difficult	time	for	me	and	jj	nnt1	if	ppio1	cc
5	difficult	time	for	you	and	jj	nnt1	if	ppy	cc
12	difficult	time	in	my	life	jj	nnt1	ii	appge	nn1
6	difficult	time	keeping	up	with	jj	nnt1	vvg	rp	iw
7	difficult	will	it	be	for	jj	nn1	pph1	vbi	if
12	difficult	will	it	be	to	jj	nn1	pph1	vbi	to
18	digital	signal	and	image	processing	jj	nn1	cc	nn1	nn1
7	digital	technologies	is	compatible	with	jj	nn2	vbz	jj	iw
6	dim	light	of	the	hallway	jj	nn1	io	at	nn1
7	dim	light	of	the	room	jj	nn1	io	at	nn1
25	diminishing	returns	principle	exists	to	jj	nn2	nn1	vvz	to
7	diminishing	values	assigned	to	other	jj	nn2	vvn	ii	jj
8	diplomatic	and	economic	relations	with	jj	cc	jj	nn2	iw
5	diplomatic	efforts	to	end	the	jj	nn2	to	vvi	at
5	diplomatic	relations	and	Syrian	guarantees	jj	nn2	cc	jj	nn2
9	diplomatic	relations	between	the	two	jj	nn2	ii	at	mc
9	diplomatic	relations	between	the	United	jj	nn2	ii	at	np1
6	diplomatic	relations	with	the	Holy	jj	nn2	iw	at	jj
5	diplomatic	relations	with	the	People	jj	nn2	iw	at	nn
7	diplomatic	relations	with	the	PRC	jj	nn2	iw	at	np1
5	diplomatic	relations	with	the	Soviet	jj	nn2	iw	at	jj
5	diplomatic	relations	with	the	Taliban	jj	nn2	iw	at	nn1
10	diplomatic	relations	with	the	United	jj	nn2	iw	at	np1
10	diplomatic	solution	to	the	crisis	jj	nn1	ii	at	nn1
5	diplomatic	ties	with	Saudi	Arabia	jj	nn2	iw	np1	np1
5	diplomatic	ties	with	the	PRC	jj	nn2	iw	at	np1
6	direct	access	to	the	president	jj	nn1	ii	at	nn1
10	direct	and	indirect	costs	of	jj	cc	jj	nn2	io
24	direct	and	indirect	effects	of	jj	cc	jj	nn2	io
14	direct	and	indirect	effects	on	jj	cc	jj	nn2	ii
5	direct	and	indirect	linkages	between	jj	cc	jj	nn2	ii
5	direct	and	positive	effect	on	jj	cc	jj	nn1	ii
9	direct	answer	to	your	question	jj	nn1	ii	appge	nn1
6	direct	comparison	of	the	two	jj	nn1	io	at	mc
5	direct	contact	with	the	people	jj	nn1	iw	at	nn
11	direct	election	of	the	president	jj	nn1	io	at	nn1
5	direct	election	of	the	prime	jj	nn1	io	at	jj
30	direct	grilling	over	medium	heat	jj	nn1	ii	jj	nn1
8	direct	grilling	over	medium-high	heat	jj	nn1	ii	jj	nn1
12	direct	investment	in	the	United	jj	nn1	ii	at	np1
10	direct	or	indirect	contact	with	jj	cc	jj	nn1	iw
6	direct	or	indirect	result	of	jj	cc	jj	nn1	io
5	direct	physical	contact	with	the	jj	jj	nn1	iw	at
9	direct	proportion	to	the	amount	jj	nn1	ii	at	nn1
7	direct	proportion	to	the	number	jj	nn1	ii	at	nn1
5	direct	talks	between	Israel	and	jj	nn2	ii	np1	cc
6	direct	talks	with	North	Korea	jj	nn2	iw	np1	np1
9	direct	talks	with	the	United	jj	nn2	iw	at	np1
12	direct	threat	to	the	United	jj	nn1	ii	at	np1
5	director	of	domestic	policy	studies	nn1	io	jj	nn1	nn2
17	dirty	dishes	in	the	sink	jj	nn2	ii	at	nn1
13	dirty	little	secret	is	that	jj	jj	nn1	vbz	cst
7	dirty	little	secret	of	the	jj	jj	nn1	io	at
5	dirty	socks	on	the	floor	jj	nn2	ii	at	nn1
5	disabled	children	and	their	families	jj	nn2	cc	appge	nn2
5	disabled	list	because	of	a	jj	nn1	ii21	ii22	at1
5	disabled	list	for	the	first	jj	nn1	if	at	md
8	disabled	list	with	a	sore	jj	nn1	iw	at1	jj
9	disabled	list	with	a	strained	jj	nn1	iw	at1	jj
6	disastrous	rise	of	misplaced	power	jj	nn1	io	jj	nn1
7	discernible	human	influence	on	global	jj	jj	nn1	ii	jj
5	disciplinary	actions	taken	against	brokers	jj	nn2	vvn	ii	nn2
6	disciplinary	referrals	for	rights	violations	jj	nn2	if	nn2	nn2
11	disciplinary	referrals	for	rule	violations	jj	nn2	if	nn1	nn2
12	disciplinary	referrals	per	academic	quarter	jj	nn2	ii	jj	nn1
5	discovery	of	the	double	helix	nn1	io	at	jj	nn1
6	disease	in	the	developing	world	nn1	ii	at	jj	nn1
6	diseased	portions	of	osteoarthritic	bone	jj	nn2	io	jj	nn1
6	dismissive	wave	of	his	hand	jj	nn1	io	appge	nn1
9	disordered	eating	among	American	Indian	jj	nn1	ii	jj	jj
8	displaced	people	in	postemergency	phase	jj	nn	ii	nn1	nn1
5	disproportionate	number	of	whom	are	jj	nn1	io	pnqo	vbr
7	disproportionate	share	of	the	costs	jj	nn1	io	at	nn2
5	disproportionately	large	share	of	the	jj	jj	nn1	io	at
5	disruptive	behavior	in	the	classroom	jj	nn1	ii	at	nn1
5	distal	tip	of	the	tendon	jj	nn1	io	at	nn1
6	distance	to	previously	deforested	land	nn1	ii	rr	jj	nn1
5	distant	look	in	his	eyes	jj	nn1	ii	appge	nn2
5	distant	objects	in	the	universe	jj	nn2	ii	at	nn1
6	distant	part	of	the	world	jj	nn1	io	at	nn1
10	distant	parts	of	the	world	jj	nn2	io	at	nn1
10	distinctive	areas	above	appears	on	jj	nn2	rl	vvz	ii
5	distinguish	between	different	types	of	vvi	ii	jj	nn2	io
9	Distinguished	Lecturer	in	Trial	Advocacy	jj	nn1	ii	nn1	nn1
10	distinguished	professor	emeritus	of	pharmacognosy	jj	nn1	jj	io	nn1
12	distinguished	professor	emeritus	of	plant	jj	nn1	jj	io	nn1
6	distinguished	record	of	service	to	jj	nn1	io	nn1	ii
9	Distinguished	Scholar	in	Trial	Practice	jj	nn1	ii	nn1	nn1
5	distressed	cities	than	in	nondistressed	jj	nn2	csn	ii	jj
7	diverse	clinical	research	experience	from	jj	jj	nn1	nn1	ii
7	diverse	ethnic	and	cultural	groups	jj	jj	cc	jj	nn2
23	diverse	issues	of	interest	to	jj	nn2	io	nn1	ii
5	divided	into	two	different	factors	vvn	ii	mc	jj	nn2
6	dividing	line	between	the	two	jj	nn1	ii	at	mc
5	divine	creation	and	intrasubstantial	causality	jj	nn1	cc	jj	nn1
20	Divine	Secrets	of	the	Ya-Ya	jj	nn2	io	at	uh
10	do	a	damn	thing	about	vdi	at1	jj	nn1	ii
5	do	a	decent	job	of	vd0	at1	jj	nn1	io
6	do	a	different	kind	of	vdi	at1	jj	nn1	io
7	do	all	the	dirty	work	vd0	rr	at	jj	nn1
7	do	double	duty	as	a	vdi	jj	nn1	ii	at1
10	do	it	a	different	way	vdi	pph1	at1	jj	nn1
5	do	n't	have	diplomatic	relations	vd0	xx	vhi	jj	nn2
14	do	on	a	daily	basis	vd0	ii	at1	jj	nn1
5	do	on	a	daily	basis	vdi	ii	at1	jj	nn1
8	do	so	many	different	things	vdi	rg	da2	jj	nn2
6	do	the	dirty	work	of	vdi	at	jj	nn1	io
5	do	their	dirty	work	for	vdi	appge	jj	nn1	if
5	doctoral	candidate	at	the	University	jj	nn1	ii	at	nn1
5	doctoral	candidate	in	music	education	jj	nn1	ii	nn1	nn1
6	doctoral	degree	in	physical	education	jj	nn1	ii	jj	nn1
7	doctoral	degree	in	social	work	jj	nn1	ii	jj	nn1
12	doctoral	education	in	social	work	jj	nn1	ii	jj	nn1
9	doctoral	graduates	in	social	work	jj	nn2	ii	jj	nn1
6	doctoral	students	in	social	work	jj	nn2	ii	jj	nn1
9	does	double	duty	as	a	vdz	jj	nn1	ii	at1
7	does	not	have	diplomatic	relations	vdz	xx	vhi	jj	nn2
7	does	on	a	daily	basis	vdz	ii	at1	jj	nn1
8	dollar	of	gross	domestic	product	nnu1	io	jj	jj	nn1
5	domestic	capacity	of	power	production	jj	nn1	io	nn1	nn1
6	domestic	economic	policy	in	my	jj	jj	nn1	ii	appge
6	domestic	jurisdiction	of	any	state	jj	nn1	io	dd	nn1
5	domestic	military	intervention	is	less	jj	jj	nn1	vbz	rgr
5	domestic	policy	adviser	in	the	jj	nn1	nn1	ii	at
6	domestic	policy	studies	at	the	jj	nn1	nn2	ii	at
6	domestic	violence	and	child	abuse	jj	nn1	cc	nn1	nn1
8	domestic	violence	and	sexual	assault	jj	nn1	cc	jj	nn1
