31	a	brief	typed	article	at1	jj	jj	nn1
39	for	sexually	transmitted	diseases	if	rr	jj	nn2
12	for	the	terrorist	attacks	if	at	jj	nn2
45	for	the	top	job	if	at	jj	nn1
65	for	the	top	spot	if	at	jj	nn1
80	for	the	top	story	if	at	jj	nn1
27	for	the	total	group	if	at	jj	nn1
19	for	the	Total	Independence	if	at	jj	nn1
16	for	the	total	number	if	at	jj	nn1
73	for	the	total	sample	if	at	jj	nn1
23	for	the	total	scale	if	at	jj	nn1
17	for	the	total	score	if	at	jj	nn1
13	for	their	thoughtful	comments	if	appge	jj	nn2
15	for	three-month	bills	with	if	jj	nn2	iw
23	for	three-year	measurement	period	if	jj	nn1	nn1
81	for	Toxic	Substances	and	if	jj	nn2	cc
13	from	a	technical	standpoint	ii	at1	jj	nn1
14	from	a	terrorist	attack	ii	at1	jj	nn1
16	from	a	theoretical	perspective	ii	at1	jj	nn1
14	from	the	terrorist	attacks	ii	at	jj	nn2
13	from	the	three-point	line	ii	at	jj	nn1
14	from	the	tiny	town	ii	at	jj	nn1
18	from	the	top	floor	ii	at	jj	nn1
18	from	the	top	shelf	ii	at	jj	nn1
17	from	the	total	number	ii	at	jj	nn1
12	from	three-point	range	and	ii	jj	nn1	cc
14	get	a	tight	shot	vvi	at1	jj	nn1
16	get	taken	care	of	vvi	jj	nn1	io
43	gifted	and	talented	children	jj	cc	jj	nn2
14	Gifted	and	talented	children	jj	cc	jj	nn2
15	gifted	and	talented	education	jj	cc	jj	nn1
21	gifted	and	talented	program	jj	cc	jj	nn1
46	gifted	and	talented	programs	jj	cc	jj	nn2
131	gifted	and	talented	students	jj	cc	jj	nn2
12	going	through	tough	times	vvg	ii	jj	nnt2
13	got	a	tough	job	vvn	at1	jj	nn1
12	got	a	tremendous	amount	vvn	at1	jj	nn1
15	grain	into	thin	slices	nn1	ii	jj	nn2
15	group	of	teenage	boys	nn1	io	jj	nn2
31	had	a	terrible	time	vhd	at1	jj	nnt1
75	had	a	tough	time	vhd	at1	jj	nnt1
65	had	a	tough	time	vhn	at1	jj	nnt1
22	had	a	tremendous	amount	vhd	at1	jj	nn1
12	had	a	tremendous	amount	vhn	at1	jj	nn1
25	had	a	tremendous	impact	vhd	at1	jj	nn1
18	had	a	tremendous	impact	vhn	at1	jj	nn1
12	had	a	two-run	homer	vhd	at1	jj	nn1
15	has	a	top	speed	vhz	at1	jj	nn1
13	has	a	tough	job	vhz	at1	jj	nn1
26	has	a	tough	time	vhz	at1	jj	nnt1
33	has	a	tremendous	amount	vhz	at1	jj	nn1
18	has	a	tremendous	impact	vhz	at1	jj	nn1
15	have	a	thick	skin	vhi	at1	jj	nn1
14	have	a	thorough	understanding	vhi	at1	jj	nn1
15	have	a	tough	job	vh0	at1	jj	nn1
187	have	a	tough	time	vhi	at1	jj	nnt1
84	have	a	tough	time	vh0	at1	jj	nnt1
56	have	a	tremendous	amount	vh0	at1	jj	nn1
12	have	a	tremendous	amount	vhi	at1	jj	nn1
12	have	a	tremendous	effect	vhi	at1	jj	nn1
45	have	a	tremendous	impact	vhi	at1	jj	nn1
14	have	a	tremendous	impact	vh0	at1	jj	nn1
15	have	a	tremendous	opportunity	vh0	at1	jj	nn1
22	have	a	two-part	question	vh0	at1	jj	nn1
12	have	made	tremendous	progress	vh0	vvn	jj	nn1
32	have	tremendous	respect	for	vh0	jj	nn1	if
29	having	a	terrible	time	vhg	at1	jj	nnt1
139	having	a	tough	time	vhg	at1	jj	nnt1
14	his	thick	black	hair	appge	jj	jj	nn1
50	hit	a	three-run	homer	vvd	at1	jj	nn1
49	hit	a	two-run	homer	vvd	at1	jj	nn1
15	hurricanes	and	tropical	storms	nn2	cc	jj	nn2
14	I	have	total	confidence	ppis1	vh0	jj	nn1
26	I	have	tremendous	respect	ppis1	vh0	jj	nn1
14	I	think	that-	KING	ppis1	vv0	jj	nn1
12	I	think	that-	Mr.	ppis1	vv0	jj	nnb
13	I	think-	Mr.	BRINKLEY	ppis1	jj	nnb	np1
16	I	think-	Mr.	DONALDSON	ppis1	jj	nnb	np1
13	impact	of	technological	change	nn1	io	jj	nn1
21	in	a	tall	glass	ii	at1	jj	nn1
33	in	a	taxable	account	ii	at1	jj	nn1
22	in	a	technical	sense	ii	at1	jj	nn1
12	in	a	technological	society	ii	at1	jj	nn1
26	in	a	televised	address	ii	at1	jj	nn1
12	in	a	terrible	accident	ii	at1	jj	nn1
16	in	a	terrible	position	ii	at1	jj	nn1
12	in	a	terrible	situation	ii	at1	jj	nn1
17	in	a	terrible	way	ii	at1	jj	nn1
21	in	a	terrorist	attack	ii	at1	jj	nn1
23	in	a	thin	layer	ii	at1	jj	nn1
13	in	a	thin	line	ii	at1	jj	nn1
33	in	a	thin	stream	ii	at1	jj	nn1
12	in	a	thoughtful	way	ii	at1	jj	nn1
12	in	a	three-bedroom	house	ii	at1	jj	nn1
17	in	a	three-part	series	ii	at1	jj	nn
32	in	a	three-piece	suit	ii	at1	jj	nn1
31	in	a	three-way	race	ii	at1	jj	nn1
25	in	a	three-way	tie	ii	at1	jj	nn1
14	in	a	three-year	period	ii	at1	jj	nn1
13	in	a	tidal	wave	ii	at1	jj	nn1
17	in	a	tight	bun	ii	at1	jj	nn1
35	in	a	tight	circle	ii	at1	jj	nn1
12	in	a	tight	line	ii	at1	jj	nn1
49	in	a	tight	race	ii	at1	jj	nn1
42	in	a	tight	spot	ii	at1	jj	nn1
17	in	a	tight	voice	ii	at1	jj	nn1
163	in	a	timely	fashion	ii	at1	jj	nn1
230	in	a	timely	manner	ii	at1	jj	nn1
36	in	a	timely	way	ii	at1	jj	nn1
25	in	a	tiny	apartment	ii	at1	jj	nn1
31	in	a	tiny	room	ii	at1	jj	nn1
17	in	a	tiny	town	ii	at1	jj	nn1
16	in	a	tiny	village	ii	at1	jj	nn1
17	in	a	tiny	voice	ii	at1	jj	nn1
17	in	a	tired	voice	ii	at1	jj	nn1
30	in	a	top	hat	ii	at1	jj	nn1
21	in	a	tough	economy	ii	at1	jj	nn1
16	in	a	tough	market	ii	at1	jj	nn1
28	in	a	tough	neighborhood	ii	at1	jj	nn1
34	in	a	tough	position	ii	at1	jj	nn1
36	in	a	tough	situation	ii	at1	jj	nn1
67	in	a	tough	spot	ii	at1	jj	nn1
21	in	a	traditional	classroom	ii	at1	jj	nn1
15	in	a	traditional	sense	ii	at1	jj	nn1
31	in	a	traditional	way	ii	at1	jj	nn1
12	in	a	tragic	accident	ii	at1	jj	nn1
18	in	a	transitional	period	ii	at1	jj	nn1
23	in	a	trembling	voice	ii	at1	jj	nn1
34	in	a	two-bedroom	apartment	ii	at1	jj	nn1
14	in	a	two-part	series	ii	at1	jj	nn
13	in	a	two-room	apartment	ii	at1	jj	nn1
16	in	a	two-story	house	ii	at1	jj	nn1
13	in	a	typical	day	ii	at1	jj	nnt1
19	In	a	typical	week	ii	at1	jj	nnt1
21	In	a	typical	year	ii	at1	jj	nnt1
16	in	a	typical	year	ii	at1	jj	nnt1
78	in	the	tall	grass	ii	at	jj	nn1
24	in	the	technical	sense	ii	at	jj	nn1
14	in	the	teenage	years	ii	at	jj	nnt2
12	in	the	temperate	zone	ii	at	jj	nn1
12	in	the	temperate	zones	ii	at	jj	nn2
22	in	the	temporal	bone	ii	at	jj	nn1
26	in	the	terrorist	attacks	ii	at	jj	nn2
12	in	the	thick	air	ii	at	jj	nn1
51	in	the	thin	air	ii	at	jj	nn1
13	in	the	third-place	game	ii	at	jj	nn1
19	in	the	tiny	room	ii	at	jj	nn1
53	in	the	tiny	town	ii	at	jj	nn1
16	in	the	tiny	village	ii	at	jj	nn1
41	in	the	top	drawer	ii	at	jj	nn1
66	in	the	top	half	ii	at	jj	nn1
13	in	the	top	job	ii	at	jj	nn1
12	in	the	top	layer	ii	at	jj	nn1
18	in	the	top	quarter	ii	at	jj	nn1
14	in	the	top	quartile	ii	at	jj	nn1
17	in	the	top	ranks	ii	at	jj	nn2
24	in	the	top	row	ii	at	jj	nn1
23	in	the	top	spot	ii	at	jj	nn1
32	in	the	top	tier	ii	at	jj	nn1
45	in	the	total	number	ii	at	jj	nn1
12	in	the	total	population	ii	at	jj	nn1
28	in	the	total	sample	ii	at	jj	nn1
13	in	the	tough	times	ii	at	jj	nnt2
12	in	the	traditional	classroom	ii	at	jj	nn1
12	in	the	traditional	group	ii	at	jj	nn1
38	in	the	traditional	manner	ii	at	jj	nn1
161	in	the	traditional	sense	ii	at	jj	nn1
13	in	the	traditional	style	ii	at	jj	nn1
82	in	the	traditional	way	ii	at	jj	nn1
13	in	the	transitional	period	ii	at	jj	nn1
12	in	the	tri-state	area	ii	at	jj	nn1
54	in	the	tribal	areas	ii	at	jj	nn2
26	in	the	triple	jump	ii	at	jj	nn1
53	in	the	true	sense	ii	at	jj	nn1
14	in	their	teenage	years	ii	appge	jj	nnt2
14	in	these	tough	times	ii	dd2	jj	nnt2
20	in	these	troubled	times	ii	dd2	jj	nnt2
12	in	these	trying	times	ii	dd2	jj	nnt2
21	in	three-month	bills	at	ii	jj	nn2	ii
20	in	tight	jeans	and	ii	jj	nn2	cc
19	in	total	agreement	with	ii	jj	nn1	iw
18	in	total	control	of	ii	jj	nn1	io
24	in	total	offense	and	ii	jj	nn1	cc
34	in	tough	economic	times	ii	jj	jj	nnt2
22	in	traditional	Chinese	medicine	ii	jj	jj	nn1
20	Inc.	releases	third-quarter	financial	jj	nn2	jj	jj
12	independence	and	territorial	integrity	nn1	cc	jj	nn1
19	internal	consistency	and	test-retest	jj	nn1	cc	jj
13	International	Center	for	Transitional	jj	nn1	if	jj
12	into	a	thin	line	ii	at1	jj	nn1
28	into	a	tight	ball	ii	at1	jj	nn1
13	into	a	tight	bun	ii	at1	jj	nn1
15	into	a	tropical	storm	ii	at1	jj	nn1
13	into	televised	broadcast	excellence	ii	jj	nn1	nn1
27	into	the	tall	grass	ii	at	jj	nn1
15	into	the	top	ranks	ii	at	jj	nn2
12	into	thin	slices	and	ii	jj	nn2	cc
13	into	tiny	pieces	and	ii	jj	nn2	cc
24	is	a	tall	man	vbz	at1	jj	nn1
56	is	a	tall	order	vbz	at1	jj	nn1
25	is	a	terrible	idea	vbz	at1	jj	nn1
27	is	a	terrible	mistake	vbz	at1	jj	nn1
17	is	a	terrible	place	vbz	at1	jj	nn1
14	is	a	terrible	problem	vbz	at1	jj	nn1
138	is	a	terrible	thing	vbz	at1	jj	nn1
20	is	a	terrible	tragedy	vbz	at1	jj	nn1
12	is	a	terrible	way	vbz	at1	jj	nn1
15	is	a	terrific	way	vbz	at1	jj	nn1
28	is	a	terrorist	organization	vbz	at1	jj	nn1
14	is	a	time-consuming	process	vbz	at1	jj	nn1
71	is	a	top	priority	vbz	at1	jj	nn1
13	is	a	total	lack	vbz	at1	jj	nn1
22	is	a	tough	business	vbz	at1	jj	nn1
13	is	a	tough	call	vbz	at1	jj	nn1
16	is	a	tough	guy	vbz	at1	jj	nn1
27	is	a	tough	job	vbz	at1	jj	nn1
19	is	a	tough	place	vbz	at1	jj	nn1
14	is	a	tough	question	vbz	at1	jj	nn1
15	is	a	tough	thing	vbz	at1	jj	nn1
22	is	a	tough	time	vbz	at1	jj	nnt1
72	is	a	tremendous	amount	vbz	at1	jj	nn1
19	is	a	tremendous	opportunity	vbz	at1	jj	nn1
35	is	a	tricky	business	vbz	at1	jj	nn1
26	is	a	true	believer	vbz	at1	jj	nn1
71	is	a	true	story	vbz	at1	jj	nn1
49	is	a	turning	point	vbz	at1	jj	nn1
25	is	a	two-edged	sword	vbz	at1	jj	nn1
58	is	a	two-way	street	vbz	at1	jj	nn1
38	is	a	typical	example	vbz	at1	jj	nn1
25	is	in	terrible	shape	vbz	ii	jj	nn1
12	is	the	technical	term	vbz	at	jj	nn1
19	is	the	top	priority	vbz	at	jj	nn1
17	is	the	top	seed	vbz	at	jj	nn1
35	is	the	total	number	vbz	at	jj	nn1
28	is	the	true	story	vbz	at	jj	nn1
15	is	under	tremendous	pressure	vbz	rg	jj	nn1
17	it	a	top	priority	pph1	at1	jj	nn1
12	jar	with	tight-fitting	lid	nn1	iw	jj	nn1
12	Journal	of	Traumatic	Stress	nn1	io	jj	nn1
13	junior	and	technical	colleges	jj	cc	jj	nn2
46	just	a	tiny	bit	rr	at1	jj	nn1
13	just	a	tiny	fraction	rr	at1	jj	nn1
15	keep	a	tight	rein	vvi	at1	jj	nn1
12	learned	a	tremendous	amount	vvd	at1	jj	nn1
12	like	a	tall	order	ii	at1	jj	nn1
38	like	a	tidal	wave	ii	at1	jj	nn1
13	like	a	trapped	animal	ii	at1	jj	nn1
20	list	of	terrorist	organizations	nn1	io	jj	nn2
19	Long-Range	Transboundary	Air	Pollution	jj	jj	nn1	nn1
20	lot	of	talented	people	nn1	io	jj	nn
66	made	a	terrible	mistake	vvn	at1	jj	nn1
44	made	a	terrible	mistake	vvd	at1	jj	nn1
14	made	a	tremendous	difference	vvd	at1	jj	nn1
12	made	the	tough	decision	vvd	at	jj	nn1
22	make	a	tremendous	difference	vvi	at1	jj	nn1
21	make	some	tough	decisions	vvi	dd	jj	nn2
18	make	the	tough	choices	vvi	at	jj	nn2
45	make	the	tough	decisions	vvi	at	jj	nn2
12	makes	a	tremendous	difference	vvz	at1	jj	nn1
23	making	a	terrible	mistake	vvg	at1	jj	nn1
28	mark	a	turning	point	vvi	at1	jj	nn1
58	marked	a	turning	point	vvn	at1	jj	nn1
19	marked	a	turning	point	vvd	at1	jj	nn1
17	marks	a	turning	point	vvz	at1	jj	nn1
13	McKinley	Technical	High	School	np1	jj	jj	nn1
27	mean	of	total	scores	nn1	io	jj	nn2
24	medium	heat	until	tender	jj	nn1	cs	jj
17	more	thorough	understanding	of	rgr	jj	nn1	io
27	more	traditional	forms	of	rgr	jj	nn2	io
88	most	trusted	name	in	rgt	jj	nn1	ii
22	National	Tropical	Botanical	Garden	jj	jj	jj	nn1
13	norms	favoring	technical	information	nn2	vvg	jj	nn1
12	not	a	tall	man	xx	at1	jj	nn1
18	not	a	top	priority	xx	at1	jj	nn1
12	number	of	terrorist	attacks	nn1	io	jj	nn2
12	of	a	tall	man	io	at1	jj	nn1
16	of	a	teenage	boy	io	at1	jj	nn1
37	of	a	teenage	girl	io	at1	jj	nn1
13	of	a	terminal	illness	io	at1	jj	nn1
93	of	a	terrorist	attack	io	at1	jj	nn1
23	of	a	terrorist	organization	io	at1	jj	nn1
12	of	a	theoretical	framework	io	at1	jj	nn1
18	of	a	three-part	series	io	at1	jj	nn
16	of	a	tidal	wave	io	at1	jj	nn1
23	of	a	total	population	ii22	at1	jj	nn1
12	of	a	traumatic	event	io	at1	jj	nn1
17	of	a	turning	point	io	at1	jj	nn1
29	of	a	two-part	series	io	at1	jj	nn
12	of	a	two-party	system	io	at1	jj	nn1
17	of	a	two-state	solution	io	at1	jj	nn1
13	of	a	typical	day	io	at1	jj	nnt1
20	of	academically	talented	students	io	rr	jj	nn2
17	of	another	terrorist	attack	io	dd1	jj	nn1
16	of	his	top	advisers	io	appge	jj	nn2
26	of	his	top	aides	io	appge	jj	nn2
21	of	his	top	priorities	io	appge	jj	nn2
18	of	its	top	executives	io	appge	jj	nn2
16	of	our	top	stories	io	appge	jj	nn2
73	of	sexually	transmitted	diseases	io	rr	jj	nn2
16	of	sexually	transmitted	infections	io	rr	jj	nn2
29	of	tactical	nuclear	weapons	io	jj	jj	nn2
14	of	technical	information	inquiry	io	jj	nn1	nn1
15	of	technological	change	and	io	jj	nn1	cc
17	of	terrorist	attacks	in	io	jj	nn2	ii
23	of	the	Taliban	regime	io	at	jj	nn1
18	of	the	technical	staff	io	at	jj	nn
17	of	the	tectorial	membrane	io	at	jj	nn1
97	of	the	temporal	bone	io	at	jj	nn1
30	of	the	temporal	bones	io	at	jj	nn2
19	of	the	temporal	lobe	io	at	jj	nn1
23	of	the	terrible	things	io	at	jj	nn2
19	of	the	terrorist	attack	io	at	jj	nn1
109	of	the	terrorist	attacks	io	at	jj	nn2
21	of	the	terrorist	group	io	at	jj	nn1
16	of	the	terrorist	groups	io	at	jj	nn2
13	of	the	terrorist	threat	io	at	jj	nn1
24	of	the	thyroid	gland	io	at	jj	nn1
16	of	the	Tibetan	people	io	at	jj	nn
12	of	the	top	brass	io	at	jj	nn1
12	of	the	top	candidates	io	at	jj	nn2
12	of	the	top	contenders	io	at	jj	nn2
13	of	the	top	executives	io	at	jj	nn2
14	of	the	top	floor	io	at	jj	nn1
17	of	the	top	issues	io	at	jj	nn2
12	of	the	top	leaders	io	at	jj	nn2
24	of	the	top	people	io	at	jj	nn
56	of	the	top	players	io	at	jj	nn2
12	of	the	top	prospects	io	at	jj	nn2
14	of	the	top	spot	ii22	at	jj	nn1
53	of	the	top	stories	io	at	jj	nn2
41	of	the	top	teams	io	at	jj	nn2
51	of	the	total	amount	io	at	jj	nn1
36	of	the	total	area	io	at	jj	nn1
22	of	the	total	budget	io	at	jj	nn1
17	of	the	total	catch	io	at	jj	nn1
69	of	the	total	cost	io	at	jj	nn1
16	of	the	total	economy	io	at	jj	nn1
20	of	the	total	energy	io	at	jj	nn1
13	of	the	total	force	io	at	jj	nn1
20	of	the	total	income	io	at	jj	nn1
21	of	the	total	land	io	at	jj	nn1
15	of	the	total	market	io	at	jj	nn1
220	of	the	total	number	io	at	jj	nn1
14	Of	the	total	number	io	at	jj	nn1
12	of	the	total	participants	io	at	jj	nn2
233	of	the	total	population	io	at	jj	nn1
13	of	the	total	responses	io	at	jj	nn2
89	of	the	total	sample	io	at	jj	nn1
17	Of	the	total	sample	io	at	jj	nn1
15	of	the	total	school	io	at	jj	nn1
15	of	the	total	score	io	at	jj	nn1
14	of	the	total	student	io	at	jj	nn1
21	of	the	total	tax	io	at	jj	nn1
14	of	the	total	time	io	at	jj	nnt1
22	of	the	total	value	io	at	jj	nn1
161	of	the	total	variance	io	at	jj	nn1
16	of	the	total	volume	io	at	jj	nn1
30	of	the	total	vote	io	at	jj	nn1
15	of	the	total	weight	io	at	jj	nn1
13	of	the	total	work	io	at	jj	nn1
15	of	the	total	world	io	at	jj	nn1
13	of	the	tough	questions	io	at	jj	nn2
29	of	the	traditional	family	io	at	jj	nn1
16	of	the	Traditional	Values	io	at	jj	nn2
19	of	the	transcontinental	railroad	io	at	jj	nn1
18	of	the	traumatic	event	io	at	jj	nn1
16	of	the	Traveling	Pants	io	at	jj	nn2
16	of	the	traveling	wave	io	at	jj	nn1
22	of	the	trigeminal	nerve	io	at	jj	nn1
27	of	the	true	nature	io	at	jj	nn1
13	of	the	Turkish	state	io	at	jj	nn1
15	of	the	two-party	system	io	at	jj	nn1
14	of	the	two-year	college	io	at	jj	nn1
42	of	the	tympanic	membrane	io	at	jj	nn1
84	of	these	top	reporters	io	dd2	jj	nn2
15	of	thick	black	hair	io	jj	jj	nn1
17	of	total	offense	in	io	jj	nn1	ii
14	of	total	scores	on	io	jj	nn2	ii
15	of	toxic	chemicals	in	io	jj	nn2	ii
21	of	Tropical	Medicine	and	io	jj	nn1	cc
13	of	tropical	rain	forest	io	jj	nn1	nn1
17	of	tropical	rain	forests	io	jj	nn1	nn2
14	of	tuberculous	otitis	media	io	jj	nn1	nn
28	of	Turkish	foreign	policy	io	jj	jj	nn1
12	of	two	teenage	girls	io	mc	jj	nn2
80	on	a	temporary	basis	ii	at1	jj	nn1
14	on	a	theoretical	level	ii	at1	jj	nn1
15	on	a	three-point	scale	ii	at1	jj	nn1
15	on	a	three-yard	run	ii	at1	jj	nn1
65	on	a	tight	budget	ii	at1	jj	nn1
16	on	a	tight	leash	ii	at1	jj	nn1
21	on	a	tight	schedule	ii	at1	jj	nn1
33	on	a	timely	basis	ii	at1	jj	nn1
14	on	a	tiny	island	ii	at1	jj	nn1
13	on	a	tree-lined	street	ii	at1	jj	nn1
22	on	a	tropical	island	ii	at1	jj	nn1
89	on	a	true	story	ii	at1	jj	nn1
52	On	a	typical	day	ii	at1	jj	nnt1
30	on	a	typical	day	ii	at1	jj	nnt1
16	on	Long-Range	Transboundary	Air	ii	jj	jj	nn1
19	on	our	top	story	ii	appge	jj	nn1
14	on	the	technical	aspects	ii	at	jj	nn2
17	on	the	technical	side	ii	at	jj	nn1
17	on	the	textual	level	ii	at	jj	nn1
20	on	the	thin	side	ii	at	jj	nn1
18	on	the	tiled	floor	ii	at	jj	nn1
14	on	the	tiny	island	ii	at	jj	nn1
23	on	the	top	bunk	ii	at	jj	nn1
34	on	the	top	deck	ii	at	jj	nn1
14	on	the	top	edge	ii	at	jj	nn1
249	on	the	top	floor	ii	at	jj	nn1
17	On	the	top	floor	ii	at	jj	nn1
14	on	the	top	half	ii	at	jj	nn1
15	on	the	top	rail	ii	at	jj	nn1
83	on	the	top	shelf	ii	at	jj	nn1
96	on	the	top	step	ii	at	jj	nn1
14	on	the	top	surface	ii	at	jj	nn1
13	on	the	total	amount	ii	at	jj	nn1
44	on	the	total	number	ii	at	jj	nn1
14	on	the	trailing	edge	ii	at	jj	nn1
39	on	the	true	story	ii	at	jj	nn1
12	only	a	thin	layer	rr	at1	jj	nn1
12	only	a	tiny	amount	rr	at1	jj	nn1
106	only	a	tiny	fraction	rr	at1	jj	nn1
34	only	a	tiny	percentage	rr	at1	jj	nn1
16	only	a	tiny	portion	rr	at1	jj	nn1
16	opened	the	top	drawer	vvd	at	jj	nn1
70	other	sexually	transmitted	diseases	jj	rr	jj	nn2
18	our	top	story	this	appge	jj	nn1	dd1
13	Our	top	story	this	appge	jj	nn1	dd1
45	our	top	story	tonight	appge	jj	nn1	rt
152	out	of	thin	air	ii21	ii22	jj	nn1
30	over	a	ten-year	period	ii	at1	jj	nn1
17	over	a	three-day	period	ii	at1	jj	nn1
23	over	a	three-month	period	ii	at1	jj	nn1
14	over	a	three-week	period	ii	at1	jj	nn1
91	over	a	three-year	period	ii	at1	jj	nn1
19	Over	a	three-year	period	ii	at1	jj	nn1
12	over	a	three-year	period	rp	at1	jj	nn1
15	over	a	two-day	period	ii	at1	jj	nn1
28	over	a	two-week	period	ii	at1	jj	nn1
75	over	a	two-year	period	ii	at1	jj	nn1
12	over	the	three-year	period	ii	at	jj	nn1
22	pace	of	technological	change	nn1	io	jj	nn1
22	pass	to	tight	end	nn1	ii	jj	nn1
20	pass	total	pos.	time	vv0	jj	nnu	nnt1
42	pay	top	dollar	for	vvi	jj	nnu1	if
28	percent	for	three-month	bills	nnu	if	jj	nn2
25	percent	from	three-point	range	nnu	ii	jj	nn1
21	percent	of	total	calories	nnu	io	jj	nnu2
13	percent	of	total	energy	nnu	io	jj	nn1
12	percent	of	total	income	nnu	io	jj	nn1
12	percent	of	total	sales	nnu	io	jj	nn
24	post	traumatic	stress	disorder	nn1	jj	nn1	nn1
13	provide	technical	assistance	to	vvi	jj	nn1	ii
17	Qaeda	and	Taliban	fighters	np1	cc	jj	nn2
14	Qaeda	and	Taliban	forces	np1	cc	jj	nn2
12	raises	troubling	questions	about	vvz	jj	nn2	ii
19	reached	a	tentative	agreement	vvd	at1	jj	nn1
15	reached	a	tentative	agreement	vvn	at1	jj	nn1
19	reached	a	turning	point	vvn	at1	jj	nn1
13	Red	List	of	Threatened	jj	nn1	io	jj
12	releases	of	toxic	chemicals	nn2	io	jj	nn2
39	releases	third-quarter	financial	results	vvz	jj	jj	nn2
20	releases	third-quarter	financial	results	nn2	jj	jj	nn2
15	runs	a	tight	ship	vvz	at1	jj	nn1
20	rush	pass	total	pos.	vv0	vv0	jj	nnu
14	salted	water	until	tender	jj	nn1	cs	jj
16	scientific	and	technological	advances	jj	cc	jj	nn2
20	scientific	and	technological	progress	jj	cc	jj	nn1
15	second-	and	third-degree	burns	jj	cc	jj	nn2
20	seen	our	top	stories	vvn	appge	jj	nn2
52	sexually	transmitted	diseases	and	rr	jj	nn2	cc
12	sexually	transmitted	diseases	in	rr	jj	nn2	ii
26	signed	a	three-year	contract	vvd	at1	jj	nn1
13	signed	a	two-year	contract	vvd	at1	jj	nn1
42	since	the	terrorist	attacks	cs	at	jj	nn2
18	Since	the	terrorist	attacks	cs	at	jj	nn2
16	skating	on	thin	ice	vvg	ii	jj	nn1
20	some	other	top	stories	dd	jj	jj	nn2
18	some	very	tough	questions	dd	rg	jj	nn2
56	sovereignty	and	territorial	integrity	nn1	cc	jj	nn1
66	spatial	and	temporal	scales	jj	cc	jj	nn2
89	Standards	for	Technological	Literacy	nn2	if	jj	nn1
33	Standards	for	technological	literacy	nn2	if	jj	nn1
13	State	and	Territorial	Health	nn1	cc	jj	nn1
13	such	a	tender	age	da	at1	jj	nn1
47	such	a	terrible	thing	da	at1	jj	nn1
24	such	a	tough	time	da	at1	jj	nnt1
17	tacit	approval	of	the	jj	nn1	io	at
13	tacit	support	of	the	jj	nn1	io	at
13	tactical	and	operational	levels	jj	cc	jj	nn2
18	takes	a	tremendous	amount	vvz	at1	jj	nn1
21	talented	students	with	learning	jj	nn2	iw	vvg
12	Taliban	leader	Mullah	Mohammed	jj	nn1	np1	np1
14	Taliban	leader	Mullah	Omar	jj	nn1	np1	np1
41	Taliban	regime	in	Afghanistan	jj	nn1	ii	np1
19	tall	buildings	in	a	jj	nn2	ii	at1
16	tall	drink	of	water	jj	nn1	io	nn1
20	tall	man	in	a	jj	nn1	ii	at1
47	tall	man	with	a	jj	nn1	iw	at1
12	tall	man	with	the	jj	nn1	iw	at
12	tall	order	for	a	jj	nn1	if	at1
21	tangible	evidence	of	the	jj	nn1	io	at
40	tart	pan	with	removable	jj	nn1	iw	jj
14	Tattered	Cover	Book	Store	jj	nn1	nn1	nn1
12	Tax-deductible	contributions	may	be	jj	nn2	vm	vbi
15	teacher-based	forms	of	inquiry	jj	nn2	io	nn1
19	technical	and	financial	assistance	jj	cc	jj	nn1
55	technical	aspects	of	the	jj	nn2	io	at
18	technical	assistance	from	the	jj	nn1	ii	at
17	technical	assistance	to	the	jj	nn1	ii	at
15	technical	director	of	the	jj	nn1	io	at
16	technical	point	of	view	jj	nn1	io	nn1
16	technical	tour	de	force	jj	nn131	f         	nn133
12	technological	literacy	for	all	jj	nn1	if	db
24	televised	address	to	the	jj	nn1	ii	at
14	tells	the	true	story	vvz	at	jj	nn1
17	temporal	and	spatial	scales	jj	cc	jj	nn2
41	Temporary	Assistance	for	Needy	jj	nn1	if	jj
17	temporary	custody	of	the	jj	nn1	io	at
12	temporary	nature	of	the	jj	nn1	io	at
24	temporary	restraining	order	against	jj	jj	nn1	ii
12	terrible	blow	to	the	jj	nn1	ii	at
12	terrible	thing	that	happened	jj	nn1	cst	vvd
31	terrible	thing	to	do	jj	nn1	to	vdi
12	terrible	thing	to	happen	jj	nn1	to	vvi
13	terrible	thing	to	have	jj	nn1	to	vhi
51	terrible	thing	to	say	jj	nn1	to	vvi
24	terrible	thing	to	waste	jj	nn1	to	vvi
19	terrible	things	that	have	jj	nn2	cst	vh0
15	territorial	integrity	and	political	jj	nn1	cc	jj
29	territorial	integrity	of	Iraq	jj	nn1	io	np1
27	territorial	integrity	of	the	jj	nn1	io	at
12	terrorist	activity	in	the	jj	nn1	ii	at
13	terrorist	attack	against	the	jj	nn1	ii	at
32	terrorist	attack	in	the	jj	nn1	ii	at
13	terrorist	attack	on	a	jj	nn1	ii	at1
14	terrorist	attack	on	American	jj	nn1	ii	jj
62	terrorist	attack	on	the	jj	nn1	ii	at
13	terrorist	attack	on	U.S.	jj	nn1	ii	np1
27	terrorist	attacks	against	the	jj	nn2	ii	at
24	terrorist	attacks	and	the	jj	nn2	cc	at
12	terrorist	attacks	around	the	jj	nn2	ii	at
26	terrorist	attacks	in	New	jj	nn2	ii	np1
54	terrorist	attacks	in	the	jj	nn2	ii	at
68	terrorist	attacks	of	Sept.	jj	nn2	io	npm1
78	terrorist	attacks	of	September	jj	nn2	io	npm1
